Sample_ID,Long,Lat
52009_082118_24_Elk,-123.46932,47.870426
52009_082118_25_Elk,-123.46932,47.870426
52009_082118_26_Elk,-123.46932,47.870426
52009_082118_27_Elk,-123.46932,47.870426
52009_082118_28_Elk,-123.46932,47.870426
52009_082118_29_Elk,-123.46932,47.870426
52009_082118_3_Elk,-123.46932,47.870426
52009_082118_30_Elk,-123.46932,47.870426
52009_082118_4_Elk,-123.46932,47.870426
52009_082118_5_Elk,-123.46932,47.870426
52009_082118_6_Elk,-123.46932,47.870426
52009_082118_7_Elk,-123.46932,47.870426
52009_082118_8_Elk,-123.46932,47.870426
52009_082118_9_Elk,-123.46932,47.870426
52009_082218_31_Hayes,-123.466043,47.83032
52009_082218_32_Hayes,-123.466043,47.83032
52009_082218_33_Hayes,-123.466043,47.83032
52009_082218_34_Hayes,-123.466043,47.83032
52009_082218_35_Hayes,-123.466043,47.83032
52009_082218_36_Hayes,-123.466043,47.83032
52009_082218_37_Hayes,-123.466043,47.83032
52009_082218_38_Hayes,-123.466043,47.83032
52009_082218_39_Hayes,-123.466043,47.83032
52009_082218_40_Hayes,-123.466043,47.83032
52009_082218_41_Hayes,-123.466043,47.83032
52009_082218_42_Hayes,-123.466043,47.83032
52009_082218_43_Hayes,-123.466043,47.83032
52009_082218_44_Hayes,-123.466043,47.83032
52009_082218_45_Hayes,-123.466043,47.83032
52009_082218_46_Hayes,-123.466043,47.83032
52009_082218_47_Hayes,-123.466043,47.83032
52009_082218_48_Hayes,-123.466043,47.83032
52009_082218_49_Hayes,-123.466043,47.83032
52009_082218_50_Hayes,-123.466043,47.83032
52009_082218_51_Hayes,-123.466043,47.83032
52009_082218_52_Hayes,-123.466043,47.83032
52009_082218_53_Hayes,-123.466043,47.83032
52009_082218_54_Hayes,-123.466043,47.83032
52009_082218_55_Hayes,-123.466043,47.83032
52009_082218_56_Hayes,-123.466043,47.83032
52009_082218_57_Hayes,-123.466043,47.83032
52009_082218_58_Hayes,-123.466043,47.83032
52009_082218_59_Hayes,-123.466043,47.83032
52009_082218_60_Hayes,-123.466043,47.83032
52009_082318_1_Mills,-123.605755,47.993774
52009_082318_10_Mills,-123.605755,47.993774
52009_082318_11_Mills,-123.605755,47.993774
52009_082318_12_Mills,-123.605755,47.993774
52009_082318_13_Mills,-123.605755,47.993774
52009_082318_14_Mills,-123.605755,47.993774
52009_082318_15_Mills,-123.605755,47.993774
52009_082318_16_Mills,-123.605755,47.993774
52009_082318_17_Mills,-123.605755,47.993774
52009_082318_2_Mills,-123.605755,47.993774
52009_082318_3_Mills,-123.605755,47.993774
52009_082318_4_Mills,-123.605755,47.993774
52009_082318_5_Mills,-123.605755,47.993774
52009_082318_6_Mills,-123.605755,47.993774
52009_082318_7_Mills,-123.605755,47.993774
52009_082318_8_Mills,-123.605755,47.993774
52009_082318_85_Mills,-123.605755,47.993774
52009_082318_86_Mills,-123.605755,47.993774
52009_082318_87_Mills,-123.605755,47.993774
52009_082318_88_Mills,-123.605755,47.993774
52009_082318_89_Mills,-123.605755,47.993774
52009_082318_9_Mills,-123.605755,47.993774
52009_082318_90_Mills,-123.605755,47.993774
52009_082318_91_Mills,-123.605755,47.993774
52009_082318_92_Mills,-123.605755,47.993774
52009_082318_93_Mills,-123.605755,47.993774
52009_082318_94_Mills,-123.605755,47.993774
52009_082318_95_Mills,-123.605755,47.993774
52009_082318_96_Mills,-123.605755,47.993774
52009_091018_18_Geyser,-123.564708,47.953049
52009_091018_19_Geyser,-123.564708,47.953049
52009_091018_20_Geyser,-123.564708,47.953049
52009_091018_21_Geyser,-123.564708,47.953049
52009_091018_22_Geyser,-123.564708,47.953049
52009_091018_23_Geyser,-123.564708,47.953049
52009_091018_24_Geyser,-123.564708,47.953049
52009_091018_25_Geyser,-123.564708,47.953049
52009_091018_26_Geyser,-123.564708,47.953049
52009_091018_27_Geyser,-123.564708,47.953049
52009_091018_28_Geyser,-123.564708,47.953049
52009_091018_29_Geyser,-123.564708,47.953049
52009_091018_30_Geyser,-123.564708,47.953049
52009_091018_31_Geyser,-123.564708,47.953049
52009_091018_32_Geyser,-123.564708,47.953049
52009_091018_33_Geyser,-123.564708,47.953049
52009_091018_34_Geyser,-123.564708,47.953049
52009_091018_35_Geyser,-123.564708,47.953049
52009_091018_36_Geyser,-123.564708,47.953049
52009_091018_37_Geyser,-123.564708,47.953049
52009_091018_38_Geyser,-123.564708,47.953049
52009_091018_39_Geyser,-123.564708,47.953049
52009_091018_40_Geyser,-123.564708,47.953049
52009_091018_41_Geyser,-123.564708,47.953049
